Element, vertices.x, vertices.y, vertices.z, vertices.w
134,  10.07584,  0.00, -0.54,  0.00
135,  10.07372,  0.00, -0.52235,  0.00
136,  10.07243,  0.00, -0.50306,  0.00
137,  10.072,  0.00, -0.482,  0.00
138,  10.072,  0.00, -0.449,  0.00
139,  10.009,  0.00, -0.449,  0.00
140,  10.009,  0.00, -0.369,  0.00
141,  10.072,  0.00, -0.369,  0.00
142,  10.072,  0.00,  0.00,  0.00
143,  10.161,  0.00,  0.00,  0.00
144,  10.161,  0.00, -0.369,  0.00
145,  10.242,  0.00, -0.369,  0.00
146,  10.242,  0.00, -0.449,  0.00
147,  10.161,  0.00, -0.449,  0.00
148,  10.161,  0.00, -0.492,  0.00
149,  10.1615,  0.00, -0.50868,  0.00
150,  10.16304,  0.00, -0.52418,  0.00
151,  10.16572,  0.00, -0.53845,  0.00
152,  10.16963,  0.00, -0.55144,  0.00
153,  10.17486,  0.00, -0.5631,  0.00
154,  10.1815,  0.00, -0.57337,  0.00
155,  10.18964,  0.00, -0.58221,  0.00
156,  10.19937,  0.00, -0.58956,  0.00
157,  10.21078,  0.00, -0.59536,  0.00
158,  10.22397,  0.00, -0.59957,  0.00
159,  10.23901,  0.00, -0.60213,  0.00
160,  10.256,  0.00, -0.603,  0.00
161,  10.25986,  0.00, -0.60296,  0.00
162,  10.26347,  0.00, -0.60282,  0.00
163,  10.26689,  0.00, -0.60259,  0.00
164,  10.27015,  0.00, -0.60226,  0.00
165,  10.2733,  0.00, -0.60181,  0.00
166,  10.27638,  0.00, -0.60125,  0.00
167,  10.27944,  0.00, -0.60056,  0.00
168,  10.28252,  0.00, -0.59974,  0.00
169,  10.28567,  0.00, -0.59878,  0.00
170,  10.28894,  0.00, -0.59768,  0.00
171,  10.29237,  0.00, -0.59642,  0.00
172,  10.296,  0.00, -0.595,  0.00
173,  9.494,  0.00,  0.075,  0.00
174,  9.494,  0.00,  0.125,  0.00
175,  10.00601,  0.00,  0.125,  0.00
176,  10.006,  0.00,  0.075,  0.00
177,  9.081,  0.00, -0.569,  0.00
178,  9.09245,  0.00, -0.57398,  0.00
179,  9.10334,  0.00, -0.57844,  0.00
180,  9.11375,  0.00, -0.58239,  0.00
181,  9.12374,  0.00, -0.58585,  0.00
182,  9.13338,  0.00, -0.58884,  0.00
183,  9.14275,  0.00, -0.59137,  0.00
184,  9.15191,  0.00, -0.59347,  0.00
185,  9.16093,  0.00, -0.59515,  0.00
186,  9.16988,  0.00, -0.59642,  0.00
187,  9.17882,  0.00, -0.59731,  0.00
188,  9.18784,  0.00, -0.59783,  0.00
189,  9.197,  0.00, -0.598,  0.00
190,  9.21445,  0.00, -0.5972,  0.00
191,  9.23074,  0.00, -0.59482,  0.00
192,  9.24582,  0.00, -0.59092,  0.00
193,  9.25959,  0.00, -0.58556,  0.00
194,  9.27202,  0.00, -0.57877,  0.00
195,  9.283,  0.00, -0.57063,  0.00
196,  9.29249,  0.00, -0.56116,  0.00
197,  9.30041,  0.00, -0.55044,  0.00
198,  9.30669,  0.00, -0.53852,  0.00
199,  9.31126,  0.00, -0.52543,  0.00
200,  9.31405,  0.00, -0.51124,  0.00
201,  9.315,  0.00, -0.496,  0.00
202,  9.31406,  0.00, -0.48103,  0.00
203,  9.31125,  0.00, -0.46714,  0.00
204,  9.30656,  0.00, -0.45437,  0.00
205,  9.30,  0.00, -0.44278,  0.00
206,  9.29157,  0.00, -0.43239,  0.00
207,  9.28125,  0.00, -0.42325,  0.00
208,  9.26907,  0.00, -0.4154,  0.00
209,  9.255,  0.00, -0.40889,  0.00
210,  9.23907,  0.00, -0.40375,  0.00
211,  9.22125,  0.00, -0.40003,  0.00
212,  9.20156,  0.00, -0.39776,  0.00
213,  9.18,  0.00, -0.397,  0.00
214,  9.18,  0.00, -0.307,  0.00
215,  9.20325,  0.00, -0.30709,  0.00
216,  9.22449,  0.00, -0.30494,  0.00
217,  9.24373,  0.00, -0.30072,  0.00
218,  9.26097,  0.00, -0.29456,  0.00
219,  9.27618,  0.00, -0.2866,  0.00
220,  9.28937,  0.00, -0.277,  0.00
221,  9.30055,  0.00, -0.2659,  0.00
222,  9.3097,  0.00, -0.25344,  0.00
223,  9.31683,  0.00, -0.23978,  0.00
224,  9.32192,  0.00, -0.22506,  0.00
225,  9.32498,  0.00, -0.20941,  0.00
226,  9.326,  0.00, -0.193,  0.00
227,  9.32512,  0.00, -0.17699,  0.00
228,  9.32251,  0.00, -0.16201,  0.00
229,  9.31824,  0.00, -0.14812,  0.00
230,  9.31237,  0.00, -0.13541,  0.00
231,  9.30498,  0.00, -0.12393,  0.00
232,  9.29613,  0.00, -0.11375,  0.00
233,  9.28587,  0.00, -0.10495,  0.00
234,  9.27429,  0.00, -0.09759,  0.00
235,  9.26145,  0.00, -0.09175,  0.00
236,  9.24741,  0.00, -0.08749,  0.00
237,  9.23224,  0.00, -0.08488,  0.00
238,  9.21601,  0.00, -0.084,  0.00
239,  9.2035,  0.00, -0.08435,  0.00
240,  9.19099,  0.00, -0.08542,  0.00
241,  9.17847,  0.00, -0.0872,  0.00
242,  9.16593,  0.00, -0.0897,  0.00
243,  9.15335,  0.00, -0.09293,  0.00
244,  9.14075,  0.00, -0.09687,  0.00
245,  9.12811,  0.00, -0.10155,  0.00
246,  9.11541,  0.00, -0.10696,  0.00
247,  9.10265,  0.00, -0.11311,  0.00
248,  9.08984,  0.00, -0.11999,  0.00
249,  9.07697,  0.00, -0.12762,  0.00
250,  9.06401,  0.00, -0.136,  0.00
251,  9.064,  0.00, -0.03,  0.00
252,  9.07625,  0.00, -0.02398,  0.00
253,  9.08849,  0.00, -0.01843,  0.00
254,  9.10072,  0.00, -0.01336,  0.00
255,  9.11292,  0.00, -0.00878,  0.00
256,  9.1251,  0.00, -0.0047,  0.00
257,  9.13725,  0.00, -0.00112,  0.00
258,  9.14935,  0.00,  0.00192,  0.00
259,  9.16141,  0.00,  0.00444,  0.00
260,  9.1734,  0.00,  0.00642,  0.00
261,  9.18534,  0.00,  0.00785,  0.00
262,  9.19721,  0.00,  0.00871,  0.00
263,  9.209,  0.00,  0.009,  0.00
264,  9.2397,  0.00,  0.00726,  0.00
265,  9.26867,  0.00,  0.00214,  0.00
266,  9.29575,  0.00, -0.00619,  0.00
267,  9.32074,  0.00, -0.01756,  0.00
268,  9.34347,  0.00, -0.0318,  0.00
269,  9.36375,  0.00, -0.04875,  0.00
270,  9.3814,  0.00, -0.06824,  0.00
271,  9.39626,  0.00, -0.09011,  0.00
272,  9.40813,  0.00, -0.11419,  0.00
273,  9.41683,  0.00, -0.14031,  0.00
274,  9.42218,  0.00, -0.1683,  0.00
275,  9.424,  0.00, -0.198,  0.00
276,  9.42337,  0.00, -0.21549,  0.00
277,  9.42147,  0.00, -0.23285,  0.00
278,  9.41826,  0.00, -0.24989,  0.00
279,  9.41371,  0.00, -0.26644,  0.00
280,  9.4078,  0.00, -0.28233,  0.00
281,  9.4005,  0.00, -0.29737,  0.00
282,  9.39179,  0.00, -0.3114,  0.00
283,  9.38163,  0.00, -0.32422,  0.00
284,  9.37,  0.00, -0.33567,  0.00
285,  9.35687,  0.00, -0.34557,  0.00
286,  9.34222,  0.00, -0.35374,  0.00
287,  9.326,  0.00, -0.36,  0.00
288,  9.34073,  0.00, -0.3687,  0.00
289,  9.35397,  0.00, -0.37786,  0.00
290,  9.36575,  0.00, -0.38756,  0.00
291,  9.37612,  0.00, -0.39789,  0.00
292,  9.3851,  0.00, -0.40892,  0.00
293,  9.39275,  0.00, -0.42075,  0.00
294,  9.39911,  0.00, -0.43345,  0.00
295,  9.40422,  0.00, -0.44711,  0.00
296,  9.40812,  0.00, -0.46181,  0.00
297,  9.41086,  0.00, -0.47764,  0.00
298,  9.41247,  0.00, -0.49467,  0.00
299,  9.413,  0.00, -0.513,  0.00
300,  9.41137,  0.00, -0.53919,  0.00
301,  9.40658,  0.00, -0.56368,  0.00
302,  9.39876,  0.00, -0.58637,  0.00
303,  9.38799,  0.00, -0.60715,  0.00
304,  9.37446,  0.00, -0.62589,  0.00
305,  9.35825,  0.00, -0.6425,  0.00
306,  9.3395,  0.00, -0.65686,  0.00
307,  9.31833,  0.00, -0.66885,  0.00
308,  9.29487,  0.00, -0.67838,  0.00
309,  9.26925,  0.00, -0.68532,  0.00
310,  9.24158,  0.00, -0.68956,  0.00
311,  9.212,  0.00, -0.691,  0.00
312,  9.19949,  0.00, -0.69081,  0.00
313,  9.18744,  0.00, -0.69024,  0.00
314,  9.17578,  0.00, -0.68928,  0.00
315,  9.16448,  0.00, -0.68793,  0.00
316,  9.15349,  0.00, -0.68617,  0.00
317,  9.14275,  0.00, -0.684,  0.00
318,  9.13223,  0.00, -0.68142,  0.00
319,  9.12186,  0.00, -0.67841,  0.00
320,  9.11159,  0.00, -0.67497,  0.00
321,  9.1014,  0.00, -0.67109,  0.00
322,  9.09121,  0.00, -0.66677,  0.00
323,  9.081,  0.00, -0.662,  0.00
324,  8.673,  0.00, -0.449,  0.00
325,  8.673,  0.00,  0.00,  0.00
326,  8.762,  0.00,  0.00,  0.00
327,  8.762,  0.00, -0.235,  0.00
328,  8.76298,  0.00, -0.25389,  0.00
329,  8.76584,  0.00, -0.27196,  0.00
330,  8.77045,  0.00, -0.28905,  0.00
331,  8.7767,  0.00, -0.305,  0.00
332,  8.78446,  0.00, -0.31966,  0.00
333,  8.79362,  0.00, -0.33288,  0.00
334,  8.80405,  0.00, -0.34448,  0.00
335,  8.81563,  0.00, -0.35433,  0.00
336,  8.82823,  0.00, -0.36227,  0.00
337,  8.84175,  0.00, -0.36812,  0.00
338,  8.85604,  0.00, -0.37176,  0.00
339,  8.871,  0.00, -0.373,  0.00
340,  8.87653,  0.00, -0.37263,  0.00
341,  8.88257,  0.00, -0.37155,  0.00
342,  8.88903,  0.00, -0.36978,  0.00
343,  8.89585,  0.00, -0.36737,  0.00
344,  8.90295,  0.00, -0.36435,  0.00
345,  8.91025,  0.00, -0.36075,  0.00
346,  8.91767,  0.00, -0.35661,  0.00
347,  8.92515,  0.00, -0.35196,  0.00
348,  8.93259,  0.00, -0.34684,  0.00
349,  8.93993,  0.00, -0.34129,  0.00
350,  8.94709,  0.00, -0.33533,  0.00
351,  8.95401,  0.00, -0.329,  0.00
352,  9.00099,  0.00, -0.406,  0.00
353,  8.99181,  0.00, -0.41438,  0.00
354,  8.98273,  0.00, -0.422,  0.00
355,  8.97373,  0.00, -0.42889,  0.00
356,  8.96482,  0.00, -0.43504,  0.00
357,  8.95595,  0.00, -0.44045,  0.00
358,  8.94712,  0.00, -0.44513,  0.00
359,  8.93832,  0.00, -0.44907,  0.00
360,  8.92952,  0.00, -0.4523,  0.00
361,  8.9207,  0.00, -0.4548,  0.00
362,  8.91185,  0.00, -0.45658,  0.00
363,  8.90296,  0.00, -0.45764,  0.00
364,  8.894,  0.00, -0.458,  0.00
365,  8.88348,  0.00, -0.45731,  0.00
366,  8.87292,  0.00, -0.45519,  0.00
367,  8.8623,  0.00, -0.45161,  0.00
368,  8.85163,  0.00, -0.44652,  0.00
369,  8.84091,  0.00, -0.43987,  0.00
370,  8.83013,  0.00, -0.43163,  0.00
371,  8.81928,  0.00, -0.42173,  0.00
372,  8.80837,  0.00, -0.41015,  0.00
373,  8.79739,  0.00, -0.39683,  0.00
374,  8.78634,  0.00, -0.38173,  0.00
375,  8.77521,  0.00, -0.3648,  0.00
